Date,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,Open Int,Vol/OI,IV,Time
210806,3740.00,0.15,650.50,650.95,651.40,0.00,0.00,unch,0.00,0.00,0.00,1.15,N/A
210806,3750.00,0.15,640.50,640.90,641.30,664.19,664.19,unch,4.00,0.00,0.00,1.13,44235.00
210806,3760.00,0.14,630.50,630.95,631.40,0.00,0.00,unch,0.00,0.00,0.00,1.12,N/A
210806,3770.00,0.14,620.50,620.95,621.40,644.21,644.21,unch,4.00,0.00,0.00,1.10,44235.00
210806,3775.00,0.14,615.50,615.95,616.40,642.62,642.62,unch,1.00,7.00,0.14,1.09,07/29/21
210806,3780.00,0.14,610.50,610.95,611.40,0.00,0.00,unch,0.00,0.00,0.00,1.09,N/A
210806,3790.00,0.14,600.50,600.95,601.40,0.00,0.00,unch,0.00,0.00,0.00,1.07,N/A
210806,3800.00,0.13,590.50,590.95,591.40,593.36,593.36,unch,10.00,0.00,0.00,1.05,44235.00
210806,3810.00,0.13,580.50,580.95,581.40,583.20,583.20,unch,10.00,0.00,0.00,1.04,44235.00
210806,3820.00,0.13,570.50,570.95,571.40,0.00,0.00,unch,0.00,0.00,0.00,1.02,N/A
210806,3825.00,0.13,565.50,565.95,566.40,0.00,0.00,unch,0.00,4.00,0.00,1.01,N/A
210806,3830.00,0.13,560.50,560.95,561.40,0.00,0.00,unch,0.00,0.00,0.00,1.00,N/A
210806,3840.00,0.12,550.50,550.95,551.40,0.00,0.00,unch,0.00,0.00,0.00,0.99,N/A
210806,3850.00,0.12,540.50,540.95,541.40,0.00,0.00,unch,0.00,0.00,0.00,0.97,N/A
210806,3860.00,0.12,530.50,530.95,531.40,0.00,0.00,unch,0.00,0.00,0.00,0.96,N/A
210806,3870.00,0.12,520.60,521.00,521.40,0.00,0.00,unch,0.00,0.00,0.00,0.94,N/A
210806,3875.00,0.12,515.60,516.00,516.40,0.00,0.00,unch,0.00,0.00,0.00,0.93,N/A
210806,3880.00,0.12,510.60,511.00,511.40,0.00,0.00,unch,0.00,0.00,0.00,0.93,N/A
210806,3890.00,0.11,500.60,501.00,501.40,521.52,521.52,unch,6.00,0.00,0.00,0.91,44235.00
210806,3900.00,0.11,490.60,491.00,491.40,0.00,0.00,unch,0.00,0.00,0.00,0.89,N/A
210806,3910.00,0.11,480.60,481.00,481.40,0.00,0.00,unch,0.00,0.00,0.00,0.88,N/A
210806,3920.00,0.11,470.60,471.00,471.40,0.00,0.00,unch,0.00,0.00,0.00,0.86,N/A
210806,3925.00,0.11,465.60,466.00,466.40,490.77,490.77,unch,1.00,0.00,0.00,0.85,44235.00
210806,3930.00,0.10,460.60,461.00,461.40,0.00,0.00,unch,0.00,0.00,0.00,0.85,N/A
210806,3935.00,0.10,455.60,456.00,456.40,0.00,0.00,unch,0.00,0.00,0.00,0.84,N/A
210806,3940.00,0.10,450.60,451.00,451.40,0.00,0.00,unch,0.00,0.00,0.00,0.83,N/A
210806,3945.00,0.10,445.60,446.00,446.40,0.00,0.00,unch,0.00,0.00,0.00,0.82,N/A
210806,3950.00,0.10,440.60,441.00,441.40,0.00,0.00,unch,0.00,0.00,0.00,0.81,N/A
210806,3955.00,0.10,435.60,436.00,436.40,0.00,0.00,unch,0.00,0.00,0.00,0.81,N/A
210806,3960.00,0.10,430.60,431.00,431.40,0.00,0.00,unch,0.00,0.00,0.00,0.80,N/A
210806,3965.00,0.10,425.60,426.00,426.40,0.00,0.00,unch,0.00,0.00,0.00,0.79,N/A
210806,3970.00,0.10,420.60,421.00,421.40,0.00,0.00,unch,0.00,0.00,0.00,0.78,N/A
210806,3975.00,0.09,415.60,416.00,416.40,0.00,0.00,unch,0.00,0.00,0.00,0.77,N/A
210806,3980.00,0.09,410.60,411.00,411.40,0.00,0.00,unch,0.00,0.00,0.00,0.76,N/A
210806,3985.00,0.09,405.60,406.05,406.50,0.00,0.00,unch,0.00,0.00,0.00,0.76,N/A
210806,3990.00,0.09,400.60,401.05,401.50,0.00,0.00,unch,0.00,0.00,0.00,0.75,N/A
210806,3995.00,0.09,395.60,396.05,396.50,0.00,0.00,unch,0.00,0.00,0.00,0.74,N/A
210806,4000.00,0.09,390.60,391.05,391.50,0.00,0.00,unch,0.00,0.00,0.00,0.73,N/A
210806,4005.00,0.09,385.60,386.05,386.50,0.00,0.00,unch,0.00,0.00,0.00,0.73,N/A
210806,4010.00,0.09,380.60,381.05,381.50,409.46,409.46,unch,8.00,0.00,0.00,0.72,44235.00
210806,4015.00,0.08,375.60,376.05,376.50,0.00,0.00,unch,0.00,0.00,0.00,0.71,N/A
210806,4020.00,0.08,370.60,371.05,371.50,0.00,0.00,unch,0.00,0.00,0.00,0.70,N/A
210806,4025.00,0.08,365.60,366.05,366.50,0.00,0.00,unch,0.00,0.00,0.00,0.69,N/A
210806,4030.00,0.08,360.60,361.05,361.50,0.00,0.00,unch,0.00,0.00,0.00,0.69,N/A
210806,4035.00,0.08,355.60,356.05,356.50,0.00,0.00,unch,0.00,0.00,0.00,0.68,N/A
210806,4040.00,0.08,350.60,351.05,351.50,0.00,0.00,unch,0.00,0.00,0.00,0.67,N/A
210806,4045.00,0.08,345.60,346.05,346.50,0.00,0.00,unch,0.00,0.00,0.00,0.66,N/A
210806,4050.00,0.08,340.60,341.05,341.50,0.00,0.00,unch,0.00,1.00,0.00,0.65,N/A
210806,4055.00,0.08,335.60,336.05,336.50,0.00,0.00,unch,0.00,0.00,0.00,0.64,N/A
210806,4060.00,0.07,330.60,331.05,331.50,273.66,57.63,0.27,8.00,8.00,1.00,0.64,07/20/21
210806,4065.00,0.07,325.60,326.05,326.50,0.00,0.00,unch,0.00,0.00,0.00,0.63,N/A
210806,4070.00,0.07,320.60,321.05,321.50,0.00,0.00,unch,0.00,0.00,0.00,0.62,N/A
210806,4075.00,0.07,315.60,316.05,316.50,0.00,0.00,unch,0.00,0.00,0.00,0.61,N/A
210806,4080.00,0.07,310.60,311.05,311.50,278.10,3.40,0.01,1.00,6.00,0.17,0.60,07/22/21
210806,4085.00,0.07,305.60,306.05,306.50,0.00,0.00,unch,0.00,0.00,0.00,0.60,N/A
210806,4090.00,0.07,300.60,301.05,301.50,245.00,245.00,unch,2.00,2.00,1.00,0.59,07/20/21
210806,4095.00,0.07,295.60,296.05,296.50,0.00,0.00,unch,0.00,0.00,0.00,0.58,N/A
210806,4100.00,0.07,290.60,291.05,291.50,0.00,0.00,unch,0.00,0.00,0.00,0.57,N/A
210806,4105.00,0.06,285.60,286.05,286.50,0.00,0.00,unch,0.00,0.00,0.00,0.56,N/A
210806,4110.00,0.06,280.60,281.05,281.50,235.50,-21.30,-0.08,2.00,7.00,0.29,0.55,07/20/21
210806,4115.00,0.06,275.60,276.05,276.50,231.30,231.30,unch,1.00,1.00,1.00,0.55,07/20/21
210806,4120.00,0.06,270.70,271.10,271.50,226.70,226.70,unch,2.00,2.00,1.00,0.54,07/20/21
210806,4125.00,0.06,265.70,266.10,266.50,217.00,217.00,unch,1.00,1.00,1.00,0.53,07/20/21
210806,4130.00,0.06,260.70,261.10,261.50,235.74,8.18,0.04,4.00,9.00,0.44,0.52,07/22/21
210806,4135.00,0.06,255.70,256.10,256.50,222.50,12.80,0.06,1.00,3.00,0.33,0.51,07/21/21
210806,4140.00,0.06,250.70,251.10,251.50,207.00,58.40,0.39,13.00,14.00,0.93,0.51,07/20/21
210806,4145.00,0.06,245.70,246.10,246.50,198.80,198.80,unch,1.00,2.00,0.50,0.50,07/20/21
210806,4150.00,0.05,240.70,241.10,241.50,251.69,-1.87,-0.01,1.00,4.00,0.25,0.49,07/30/21
210806,4155.00,0.05,235.70,236.15,236.60,193.90,53.50,0.38,1.00,2.00,0.50,0.48,07/20/21
210806,4160.00,0.05,230.70,231.15,231.60,199.76,10.36,0.05,12.00,10.00,1.20,0.47,07/21/21
210806,4165.00,0.05,225.70,226.15,226.60,229.17,50.17,0.28,2.00,2.00,1.00,0.47,07/28/21
210806,4170.00,0.05,220.70,221.15,221.60,249.28,29.50,0.13,3.00,11.00,0.27,0.46,07/26/21
210806,4175.00,0.05,215.70,216.15,216.60,125.00,125.00,unch,1.00,2.00,0.50,0.45,07/19/21
210806,4180.00,0.05,210.70,211.15,211.60,0.00,0.00,unch,0.00,1.00,0.00,0.44,N/A
210806,4185.00,0.05,205.70,206.15,206.60,212.84,32.34,0.18,2.00,6.00,0.33,0.43,07/28/21
210806,4190.00,0.04,200.80,201.20,201.60,211.95,-1.64,-0.01,2.00,21.00,0.10,0.42,44235.00
210806,4195.00,0.04,195.80,196.20,196.60,203.01,21.46,0.12,2.00,11.00,0.18,0.42,07/28/21
210806,4200.00,0.04,190.80,191.25,191.70,199.09,29.12,0.17,6.00,24.00,0.25,0.41,44235.00
210806,4205.00,0.04,185.80,186.25,186.70,201.74,201.74,unch,2.00,0.00,0.00,0.40,07/23/21
210806,4210.00,0.04,180.80,181.25,181.70,159.60,13.79,0.09,1.00,7.00,0.14,0.39,07/16/21
210806,4215.00,0.04,175.80,176.25,176.70,194.06,17.02,0.10,12.00,4.00,3.00,0.38,07/28/21
210806,4220.00,0.04,170.90,171.30,171.70,199.09,4.81,0.02,10.00,14.00,0.71,0.38,44235.00
210806,4225.00,0.04,165.90,166.35,166.80,176.12,-14.00,-0.07,3.00,20.00,0.15,0.37,07/30/21
210806,4230.00,0.04,160.90,161.35,161.80,175.96,13.04,0.08,20.00,39.00,0.51,0.36,07/27/21
210806,4235.00,0.03,155.90,156.35,156.80,120.84,44.63,0.59,1.00,11.00,0.09,0.35,07/20/21
210806,4240.00,0.03,151.00,151.40,151.80,174.52,-1.88,-0.01,12.00,32.00,0.38,0.34,44235.00
210806,4245.00,0.03,146.00,146.45,146.90,155.17,73.27,0.89,2.00,11.00,0.18,0.33,44235.00
210806,4250.00,0.03,141.10,141.50,141.90,137.14,-9.29,-0.06,17.00,177.00,0.10,0.33,44235.00
210806,4255.00,0.03,136.10,136.55,137.00,141.56,35.75,0.34,39.00,155.00,0.25,0.32,07/30/21
210806,4260.00,0.03,131.10,131.55,132.00,141.18,2.23,0.02,1.00,61.00,0.02,0.31,44235.00
210806,4265.00,0.03,126.20,126.65,127.10,126.67,61.07,0.93,41.00,7.00,5.86,0.30,44235.00
210806,4270.00,0.03,121.30,121.75,122.20,121.77,-2.28,-0.02,25.00,15.00,1.67,0.29,44235.00
210806,4275.00,0.03,116.40,116.85,117.30,125.52,-5.58,-0.04,2.00,25.00,0.08,0.29,44235.00
210806,4280.00,0.02,111.50,111.95,112.40,117.20,-15.68,-0.12,7.00,88.00,0.08,0.28,44235.00
210806,4285.00,0.02,106.70,107.10,107.50,119.70,-14.10,-0.11,5.00,6.00,0.83,0.27,07/28/21
210806,4290.00,0.02,101.80,102.25,102.70,107.40,-4.13,-0.04,9.00,51.00,0.18,0.26,44235.00
210806,4295.00,0.02,97.00,97.45,97.90,118.35,3.45,0.03,2.00,6.00,0.33,0.26,44235.00
210806,4300.00,0.02,92.20,92.65,93.10,90.80,-4.40,-0.05,65.00,58.00,1.12,0.25,44235.00
210806,4305.00,0.02,87.50,87.90,88.30,83.91,-31.39,-0.27,30.00,80.00,0.38,0.24,44235.00
210806,4310.00,0.02,82.80,83.20,83.60,81.49,-20.78,-0.20,45.00,47.00,0.96,0.24,44235.00
210806,4315.00,0.02,78.10,78.50,78.90,85.07,-6.03,-0.07,15.00,25.00,0.60,0.23,44235.00
210806,4320.00,0.02,73.70,73.90,74.10,70.10,-19.10,-0.21,131.00,81.00,1.62,0.23,44235.00
210806,4325.00,0.01,69.10,69.30,69.50,67.20,-31.74,-0.32,141.00,48.00,2.94,0.22,44235.00
210806,4330.00,0.01,64.50,64.75,65.00,61.60,-31.97,-0.34,65.00,106.00,0.61,0.21,44235.00
210806,4335.00,0.01,60.10,60.30,60.50,57.88,-17.20,-0.23,16.00,57.00,0.28,0.21,44235.00
210806,4340.00,0.01,55.70,55.90,56.10,61.50,-6.30,-0.09,6.00,54.00,0.11,0.20,44235.00
210806,4345.00,0.01,51.30,51.55,51.80,50.80,-17.28,-0.25,42.00,57.00,0.74,0.20,44235.00
210806,4350.00,0.01,47.10,47.30,47.50,44.40,-24.45,-0.36,139.00,1383.00,0.10,0.19,44235.00
210806,4355.00,0.01,42.90,43.10,43.30,39.40,-24.55,-0.38,75.00,76.00,0.99,0.18,44235.00
210806,4360.00,0.01,38.80,39.05,39.30,39.00,-7.00,-0.15,97.00,80.00,1.21,0.18,44235.00
210806,4365.00,0.01,34.80,35.05,35.30,34.57,-17.26,-0.33,82.00,66.00,1.24,0.17,44235.00
210806,4370.00,0.00,31.00,31.20,31.40,30.77,-14.91,-0.33,233.00,205.00,1.14,0.17,44235.00
210806,4375.00,0.00,27.30,27.50,27.70,26.72,-11.68,-0.30,164.00,765.00,0.21,0.16,44235.00
210806,4380.00,0.00,23.80,24.00,24.20,23.27,-17.91,-0.43,514.00,101.00,5.09,0.16,44235.00
210806,4385.00,0.00,20.50,20.65,20.80,20.58,-15.36,-0.43,323.00,532.00,0.61,0.15,44235.00
210806,4390.00,0.00,17.40,17.55,17.70,17.50,-10.01,-0.36,488.00,109.00,4.48,0.15,44235.00
210806,4395.00,0.00,14.50,14.70,14.90,14.68,-22.52,-0.61,988.00,19.00,52.00,0.14,44235.00
210806,4400.00,0.00,11.90,12.05,12.20,11.99,-9.71,-0.45,2103.00,299.00,7.03,0.14,44235.00
210806,4405.00,0.00,9.60,9.70,9.80,9.74,-8.36,-0.46,853.00,66.00,12.92,0.13,44235.00
210806,4410.00,-0.01,7.60,7.70,7.80,7.61,-8.22,-0.52,1179.00,381.00,3.09,0.13,44235.00
210806,4415.00,-0.01,5.80,5.95,6.10,5.82,-7.41,-0.56,1451.00,47.00,30.87,0.12,44235.00
210806,4420.00,-0.01,4.30,4.45,4.60,4.40,-6.30,-0.59,1992.00,1509.00,1.32,0.12,44235.00
210806,4425.00,-0.01,3.20,3.30,3.40,3.20,-5.19,-0.62,2559.00,933.00,2.74,0.12,44235.00
210806,4430.00,-0.01,2.30,2.38,2.45,2.28,-4.92,-0.68,1882.00,118.00,15.95,0.12,44235.00
210806,4435.00,-0.01,1.60,1.68,1.75,1.68,-3.79,-0.69,1990.00,132.00,15.08,0.11,44235.00
210806,4440.00,-0.01,1.10,1.18,1.25,1.18,-6.92,-0.85,4065.00,135.00,30.11,0.11,44235.00
210806,4445.00,-0.01,0.75,0.83,0.90,0.85,-15.05,-0.95,1591.00,111.00,14.33,0.11,44235.00
210806,4450.00,-0.01,0.60,0.63,0.65,0.60,-1.90,-0.76,5617.00,1067.00,5.26,0.11,44235.00
210806,4455.00,-0.02,0.40,0.45,0.50,0.40,-1.38,-0.78,2095.00,361.00,5.80,0.11,44235.00
210806,4460.00,-0.02,0.30,0.32,0.35,0.35,-9.48,-0.96,5447.00,132.00,41.27,0.11,44235.00
210806,4465.00,-0.02,0.20,0.25,0.30,0.25,-0.70,-0.74,1428.00,86.00,16.60,0.11,44235.00
210806,4470.00,-0.02,0.15,0.20,0.25,0.20,-2.05,-0.91,901.00,67.00,13.45,0.12,44235.00
210806,4475.00,-0.02,0.10,0.15,0.20,0.12,-1.63,-0.93,6264.00,206.00,30.41,0.11,44235.00
210806,4480.00,-0.02,0.10,0.13,0.15,0.12,-0.30,-0.71,699.00,46.00,15.20,0.12,44235.00
210806,4485.00,-0.02,0.05,0.08,0.10,0.10,-0.16,-0.62,550.00,0.00,0.00,0.12,44235.00
210806,4490.00,-0.02,0.05,0.08,0.10,0.05,-0.25,-0.83,4775.00,519.00,9.20,0.12,44235.00
210806,4495.00,-0.02,0.05,0.08,0.10,0.05,-0.14,-0.74,427.00,0.00,0.00,0.12,44235.00
210806,4500.00,-0.03,0.05,0.05,0.05,0.05,-0.15,-0.75,527.00,1192.00,0.44,0.13,44235.00
210806,4505.00,-0.03,0.05,0.05,0.05,0.07,-0.51,-0.88,277.00,0.00,0.00,0.13,44235.00
210806,4510.00,-0.03,0.05,0.05,0.05,0.07,-0.06,-0.46,287.00,70.00,4.10,0.14,44235.00
210806,4515.00,-0.03,0.05,0.05,0.05,0.05,-0.10,-0.67,11.00,0.00,0.00,0.14,44235.00
210806,4520.00,-0.03,0.05,0.05,0.05,0.07,-0.03,-0.30,111.00,94.00,1.18,0.15,44235.00
210806,4525.00,-0.03,0.05,0.05,0.05,0.05,-0.22,-0.81,676.00,92.00,7.35,0.15,44235.00
210806,4530.00,-0.03,0.05,0.05,0.05,0.05,-0.05,-0.50,65.00,12.00,5.42,0.16,44235.00
210806,4535.00,-0.03,0.05,0.05,0.05,0.05,0.05,unch,103.00,0.00,0.00,0.16,44235.00
210806,4540.00,-0.03,0.05,0.05,0.05,0.21,-0.09,-0.30,34.00,5.00,6.80,0.17,07/30/21
210806,4545.00,-0.04,0.05,0.05,0.05,0.32,-0.88,-0.73,13.00,0.00,0.00,0.17,07/28/21
210806,4550.00,-0.04,0.05,0.05,0.05,0.05,-0.02,-0.29,1152.00,146.00,7.89,0.18,44235.00
210806,4555.00,-0.04,0.05,0.05,0.05,0.05,-0.05,-0.50,2.00,0.00,0.00,0.18,44235.00
210806,4560.00,-0.04,0.05,0.05,0.05,0.05,-0.02,-0.29,24.00,2.00,12.00,0.19,44235.00
210806,4565.00,-0.04,0.05,0.05,0.05,0.07,-0.28,-0.80,157.00,0.00,0.00,0.19,44235.00
210806,4570.00,-0.04,0.05,0.05,0.05,0.07,-0.08,-0.53,62.00,0.00,0.00,0.20,44235.00
210806,4575.00,-0.04,0.05,0.05,0.05,0.05,-0.10,-0.67,63.00,73.00,0.86,0.20,44235.00
210806,4580.00,-0.04,0.05,0.05,0.05,0.20,-0.22,-0.52,1.00,16.00,0.06,0.00,07/29/21
210806,4585.00,-0.05,0.05,0.05,0.05,0.07,0.07,unch,113.00,0.00,0.00,0.22,44235.00
210806,4590.00,-0.05,0.05,0.05,0.05,0.05,-0.05,-0.50,3.00,0.00,0.00,0.22,44235.00
210806,4595.00,-0.05,0.00,0.03,0.05,0.00,0.00,unch,0.00,0.00,0.00,0.00,N/A
210806,4600.00,-0.05,0.05,0.05,0.05,0.05,0.00,unch,4.00,14.00,0.29,0.23,44235.00
210806,4605.00,-0.05,0.00,0.03,0.05,0.00,0.00,unch,0.00,0.00,0.00,0.00,N/A
210806,4610.00,-0.05,0.05,0.05,0.05,0.05,-0.05,-0.50,1.00,0.00,0.00,0.24,44235.00
210806,4615.00,-0.05,0.00,0.03,0.05,0.00,0.00,unch,0.00,0.00,0.00,0.00,N/A
210806,4620.00,-0.05,0.05,0.05,0.05,0.00,0.00,unch,0.00,0.00,0.00,0.00,N/A
210806,4625.00,-0.05,0.05,0.05,0.05,0.05,-0.15,-0.75,4.00,159.00,0.03,0.00,07/30/21
210806,4630.00,-0.06,0.05,0.05,0.05,0.05,0.05,unch,10.00,0.00,0.00,0.00,07/30/21
210806,4640.00,-0.06,0.05,0.05,0.05,0.05,0.05,unch,43.00,0.00,0.00,0.00,07/30/21
210806,4650.00,-0.06,0.05,0.05,0.05,0.05,-0.10,-0.67,237.00,10.00,23.70,0.00,07/30/21
210806,4660.00,-0.06,0.05,0.05,0.05,0.05,0.05,unch,70.00,0.00,0.00,0.00,07/30/21
210806,4670.00,-0.06,0.05,0.05,0.05,0.05,0.05,unch,80.00,0.00,0.00,0.00,07/30/21
210806,4675.00,-0.07,0.05,0.05,0.05,0.05,-0.05,-0.50,86.00,116.00,0.74,0.00,07/30/21
210806,4680.00,-0.07,0.05,0.05,0.05,0.05,0.05,unch,15.00,0.00,0.00,0.00,07/30/21
210806,4690.00,-0.07,0.05,0.05,0.05,0.05,0.05,unch,70.00,0.00,0.00,0.00,07/30/21
210806,4700.00,-0.07,0.05,0.05,0.05,0.05,0.00,unch,150.00,122.00,1.23,0.00,07/30/21
210806,4710.00,-0.07,0.00,0.03,0.05,0.00,0.00,unch,0.00,0.00,0.00,0.00,N/A
210806,4720.00,-0.08,0.00,0.03,0.05,0.00,0.00,unch,0.00,0.00,0.00,0.00,N/A
210806,4725.00,-0.08,0.05,0.05,0.05,0.05,0.00,unch,120.00,78.00,1.54,0.00,07/29/21
210806,4750.00,-0.08,0.05,0.05,0.05,0.05,-0.05,-0.50,10.00,210.00,0.05,0.00,07/26/21
210806,4775.00,-0.09,0.05,0.05,0.05,0.05,0.05,unch,1.00,0.00,0.00,0.38,44235.00
210806,4800.00,-0.09,0.05,0.05,0.05,0.05,0.05,unch,2.00,4.00,0.50,0.00,07/28/21
210806,4825.00,-0.10,0.00,0.03,0.05,0.00,0.00,unch,0.00,0.00,0.00,0.00,N/A
210806,4850.00,-0.11,0.05,0.05,0.05,0.05,0.05,unch,4.00,13.00,0.31,0.00,07/13/21
210806,4900.00,-0.12,0.05,0.05,0.05,0.05,0.00,unch,14.00,54.00,0.26,0.00,07/22/21
210806,5000.00,-0.14,0.00,0.03,0.05,0.00,0.00,unch,0.00,0.00,0.00,0.00,N/A
210806,5100.00,-0.16,0.00,0.03,0.05,0.00,0.00,unch,0.00,0.00,0.00,0.00,N/A
210806,5200.00,-0.19,0.00,0.03,0.05,0.00,0.00,unch,0.00,0.00,0.00,0.00,N/A
210806,5300.00,-0.21,0.00,0.03,0.05,0.00,0.00,unch,0.00,0.00,0.00,0.00,N/A
210806,5400.00,-0.23,0.00,0.03,0.05,0.00,0.00,unch,0.00,0.00,0.00,0.00,N/A
210806,5500.00,-0.25,0.00,0.03,0.05,0.00,0.00,unch,0.00,0.00,0.00,0.00,N/A
210806,5600.00,-0.28,0.00,0.03,0.05,0.00,0.00,unch,0.00,0.00,0.00,0.00,N/A
210806,5700.00,-0.30,0.00,0.03,0.05,0.00,0.00,unch,0.00,0.00,0.00,0.00,N/A
210806,5800.00,-0.32,0.00,0.03,0.05,0.00,0.00,unch,0.00,0.00,0.00,0.00,N/A
210806,5900.00,-0.34,0.00,0.03,0.05,0.00,0.00,unch,0.00,0.00,0.00,0.00,N/A
210806,6000.00,-0.37,0.00,0.03,0.05,0.00,0.00,unch,0.00,0.00,0.00,0.00,N/A
210806,6200.00,-0.41,0.00,0.03,0.05,0.00,0.00,unch,0.00,0.00,0.00,0.00,N/A
210806,6400.00,-0.46,0.00,0.03,0.05,0.00,0.00,unch,0.00,0.00,0.00,0.00,N/A
210809,1200.00,0.73,3187.60,3189.70,3191.80,0.00,0.00,unch,0.00,0.00,0.00,3.94,N/A
210809,1400.00,0.68,2987.60,2989.70,2991.80,0.00,0.00,unch,0.00,0.00,0.00,3.49,N/A
210809,1600.00,0.64,2787.70,2789.75,2791.80,0.00,0.00,unch,0.00,0.00,0.00,3.11,N/A
210809,1800.00,0.59,2587.70,2589.75,2591.80,0.00,0.00,unch,0.00,0.00,0.00,2.77,N/A
210809,1900.00,0.57,2487.60,2489.70,2491.80,0.00,0.00,unch,0.00,0.00,0.00,2.61,N/A
210809,2000.00,0.54,2387.70,2389.75,2391.80,0.00,0.00,unch,0.00,0.00,0.00,2.46,N/A
210809,2100.00,0.52,2287.70,2289.75,2291.80,0.00,0.00,unch,0.00,0.00,0.00,2.32,N/A
210809,2200.00,0.50,2187.70,2189.75,2191.80,0.00,0.00,unch,0.00,0.00,0.00,2.19,N/A
210809,2300.00,0.48,2087.70,2089.80,2091.90,0.00,0.00,unch,0.00,0.00,0.00,2.06,N/A
210809,2400.00,0.45,1987.70,1989.75,1991.80,0.00,0.00,unch,0.00,0.00,0.00,1.93,N/A
210809,2500.00,0.43,1887.70,1889.80,1891.90,0.00,0.00,unch,0.00,0.00,0.00,1.82,N/A
